Artikel-ID,Artikel,Text
art_1,Art. 1,"Eine Strafe oder Massnahme darf nur wegen einer Tat verhängt werden, die das Gesetz ausdrücklich unter Strafe stellt."
art_2,Art. 2,"Nach diesem Gesetze wird beurteilt, wer nach dessen Inkrafttreten ein Verbrechen oder Vergehen begeht. Hat der Täter ein Verbrechen oder Vergehen vor Inkrafttreten dieses Gesetzes begangen, erfolgt die Beurteilung aber erst nachher, so ist dieses Gesetz anzuwenden, wenn es für ihn das mildere ist."
art_3,Art. 3,"Diesem Gesetz ist unterworfen, wer in der Schweiz ein Verbrechen oder Vergehen begeht. Ist der Täter wegen der Tat im Ausland verurteilt worden und wurde die Strafe im Ausland ganz oder teilweise vollzogen, so rechnet ihm das Gericht die vollzogene Strafe auf die auszusprechende Strafe an. Ist ein Täter auf Ersuchen der schweizerischen Behörde im Ausland verfolgt worden, so wird er, unter Vorbehalt eines krassen Verstosses gegen die Grundsätze der Bundesverfassung und der Konvention vom 4. November 1950 a. das ausländische Gericht ihn endgültig freigesprochen hat; b. die Sanktion, zu der er im Ausland verurteilt wurde, vollzogen, erlassen oder verjährt ist. Hat der auf Ersuchen der schweizerischen Behörde im Ausland verfolgte Täter die Strafe im Ausland nicht oder nur teilweise verbüsst, so wird in der Schweiz die Strafe oder deren Rest vollzogen. Das Gericht entscheidet, ob eine im Ausland nicht oder nur teilweise vollzogene Massnahme in der Schweiz durchzuführen oder fortzusetzen ist."
art_4,Art. 4,"Diesem Gesetz ist auch unterworfen, wer im Ausland ein Verbrechen oder Vergehen gegen den Staat und die Landesverteidigung (Art. 265–278) begeht. Ist der Täter wegen der Tat im Ausland verurteilt worden und wurde die Strafe im Ausland ganz oder teilweise vollzogen, so rechnet ihm das Gericht die vollzogene Strafe auf die auszusprechende Strafe an."
art_5,Art. 5,"Diesem Gesetz ist ausserdem unterworfen, wer sich in der Schweiz befindet, nicht ausgeliefert wird und im Ausland eine der folgenden Taten begangen hat: a. Menschenhandel (Art. 182), sexuelle Nötigung (Art. 189 Abs. 2 und 3), Vergewaltigung (Art. 190 Abs. 2 und 3), Missbrauch einer urteilsunfähigen oder zum Widerstand unfähigen Person (Art. 191) oder Förderung der Prostitution (Art. 195), wenn das Opfer weniger als 18 Jahre alt war; a sexuelle Handlungen mit Abhängigen (Art. 188) und sexuelle Handlungen mit Minderjährigen gegen Entgelt (Art. 196); b. sexuelle Handlungen mit Kindern (Art. 187), wenn das Opfer weniger als 14 Jahre alt war; c. qualifizierte Pornografie (Art. 197 Abs. 3 und 4), wenn die Gegenstände oder Vorführungen sexuelle Handlungen mit Minderjährigen zum Inhalt hatten. Der Täter wird, unter Vorbehalt eines krassen Verstosses gegen die Grundsätze der Bundesverfassung und der EMRK a. ein ausländisches Gericht ihn endgültig freigesprochen hat; b. die Sanktion, zu der er im Ausland verurteilt wurde, vollzogen, erlassen oder verjährt ist. Ist der Täter wegen der Tat im Ausland verurteilt worden und wurde die Strafe im Ausland nur teilweise vollzogen, so rechnet ihm das Gericht den vollzogenen Teil auf die auszusprechende Strafe an. Das Gericht entscheidet, ob eine im Ausland angeordnete, dort aber nur teilweise vollzogene Massnahme fortzusetzen oder auf die in der Schweiz ausgefällte Strafe anzurechnen ist."
art_6,Art. 6,"Wer im Ausland ein Verbrechen oder Vergehen begeht, zu dessen Verfolgung sich die Schweiz durch ein internationales Übereinkommen verpflichtet hat, ist diesem Gesetz unterworfen, wenn: a. die Tat auch am Begehungsort strafbar ist oder der Begehungsort keiner Strafgewalt unterliegt; und b. der Täter sich in der Schweiz befindet und nicht an das Ausland ausgeliefert wird. Das Gericht bestimmt die Sanktionen so, dass sie insgesamt für den Täter nicht schwerer wiegen als diejenigen nach dem Recht des Begehungsortes. Der Täter wird, unter Vorbehalt eines krassen Verstosses gegen die Grundsätze der Bundesverfassung und der EMRK a. ein ausländisches Gericht ihn endgültig freigesprochen hat; b. die Sanktion, zu der er im Ausland verurteilt wurde, vollzogen, erlassen oder verjährt ist. Ist der Täter wegen der Tat im Ausland verurteilt worden und wurde die Strafe im Ausland nur teilweise vollzogen, so rechnet ihm das Gericht den vollzogenen Teil auf die auszusprechende Strafe an. Das Gericht entscheidet, ob eine im Ausland angeordnete, dort aber nur teilweise vollzogene Massnahme fortzusetzen oder auf die in der Schweiz ausgesprochene Strafe anzurechnen ist."
art_7,Art. 7,"Wer im Ausland ein Verbrechen oder Vergehen begeht, ohne dass die Voraussetzungen der Artikel 4, 5 oder 6 erfüllt sind, ist diesem Gesetz unterworfen, wenn: a. die Tat auch am Begehungsort strafbar ist oder der Begehungsort keiner Strafgewalt unterliegt; b. der Täter sich in der Schweiz befindet oder ihr wegen dieser Tat ausgeliefert wird; und c. nach schweizerischem Recht die Tat die Auslieferung zulässt, der Täter jedoch nicht ausgeliefert wird. Ist der Täter nicht Schweizer und wurde das Verbrechen oder Vergehen nicht gegen einen Schweizer begangen, so ist Absatz 1 nur anwendbar, wenn: a. das Auslieferungsbegehren aus einem Grund abgewiesen wurde, der nicht die Art der Tat betrifft; oder b. der Täter ein besonders schweres Verbrechen begangen hat, das von der internationalen Rechtsgemeinschaft geächtet wird. Das Gericht bestimmt die Sanktionen so, dass sie insgesamt für den Täter nicht schwerer wiegen als die Sanktionen nach dem Recht des Begehungsortes. Der Täter wird, unter Vorbehalt eines krassen Verstosses gegen die Grundsätze der Bundesverfassung und der EMRK a. ein ausländisches Gericht ihn endgültig freigesprochen hat; b. die Sanktion, zu der er im Ausland verurteilt wurde, vollzogen, erlassen oder verjährt ist. Ist der Täter wegen der Tat im Ausland verurteilt worden und wurde die Strafe im Ausland nur teilweise vollzogen, so rechnet ihm das Gericht den vollzogenen Teil auf die auszusprechende Strafe an. Das Gericht entscheidet, ob eine im Ausland angeordnete, aber dort nur teilweise vollzogene Massnahme fortzusetzen oder auf die in der Schweiz ausgesprochene Strafe anzurechnen ist."
art_8,Art. 8,"Ein Verbrechen oder Vergehen gilt als da begangen, wo der Täter es ausführt oder pflichtwidrig untätig bleibt, und da, wo der Erfolg eingetreten ist. Der Versuch gilt als da begangen, wo der Täter ihn ausführt, und da, wo nach seiner Vorstellung der Erfolg hätte eintreten sollen."
art_9,Art. 9,"Dieses Gesetz ist nicht anwendbar auf Personen, soweit deren Taten nach dem Militärstrafrecht zu beurteilen sind. Für Personen, welche zum Zeitpunkt der Tat das 18. Altersjahr noch nicht vollendet haben, bleiben die Vorschriften des Jugendstrafgesetzes vom 20. Juni 2003"
art_10,Art. 10,"Dieses Gesetz unterscheidet die Verbrechen von den Vergehen nach der Schwere der Strafen, mit der die Taten bedroht sind. Verbrechen sind Taten, die mit Freiheitsstrafe von mehr als drei Jahren bedroht sind. Vergehen sind Taten, die mit Freiheitsstrafe bis zu drei Jahren oder mit Geldstrafe bedroht sind."
art_11,Art. 11,"Ein Verbrechen oder Vergehen kann auch durch pflichtwidriges Untätigbleiben begangen werden. Pflichtwidrig untätig bleibt, wer die Gefährdung oder Verletzung eines strafrechtlich geschützten Rechtsgutes nicht verhindert, obwohl er aufgrund seiner Rechtstellung dazu verpflichtet ist, namentlich auf Grund: a. des Gesetzes; b. eines Vertrages; c. einer freiwillig eingegangenen Gefahrengemeinschaft; oder d. der Schaffung einer Gefahr. Wer pflichtwidrig untätig bleibt, ist gestützt auf den entsprechenden Tatbestand nur dann strafbar, wenn ihm nach den Umständen der Tat derselbe Vorwurf gemacht werden kann, wie wenn er die Tat durch ein aktives Tun begangen hätte. Das Gericht kann die Strafe mildern."
art_12,Art. 12,"Bestimmt es das Gesetz nicht ausdrücklich anders, so ist nur strafbar, wer ein Verbrechen oder Vergehen vorsätzlich begeht. Vorsätzlich begeht ein Verbrechen oder Vergehen, wer die Tat mit Wissen und Willen ausführt. Vorsätzlich handelt bereits, wer die Verwirklichung der Tat für möglich hält und in Kauf nimmt. Fahrlässig begeht ein Verbrechen oder Vergehen, wer die Folge seines Verhaltens aus pflichtwidriger Unvorsichtigkeit nicht bedenkt oder darauf nicht Rücksicht nimmt. Pflichtwidrig ist die Unvorsichtigkeit, wenn der Täter die Vorsicht nicht beachtet, zu der er nach den Umständen und nach seinen persönlichen Verhältnissen verpflichtet ist."
art_13,Art. 13,"Handelt der Täter in einer irrigen Vorstellung über den Sachverhalt, so beurteilt das Gericht die Tat zu Gunsten des Täters nach dem Sachverhalt, den sich der Täter vorgestellt hat. Hätte der Täter den Irrtum bei pflichtgemässer Vorsicht vermeiden können, so ist er wegen Fahrlässigkeit strafbar, wenn die fahrlässige Begehung der Tat mit Strafe bedroht ist."
art_14,Art. 14,"Wer handelt, wie es das Gesetz gebietet oder erlaubt, verhält sich rechtmässig, auch wenn die Tat nach diesem oder einem andern Gesetz mit Strafe bedroht ist."
art_15,Art. 15,"Wird jemand ohne Recht angegriffen oder unmittelbar mit einem Angriff bedroht, so ist der Angegriffene und jeder andere berechtigt, den Angriff in einer den Umständen angemessenen Weise abzuwehren."
art_16,Art. 16,"Überschreitet der Abwehrende die Grenzen der Notwehr nach Artikel 15, so mildert das Gericht die Strafe. Überschreitet der Abwehrende die Grenzen der Notwehr in entschuldbarer Aufregung oder Bestürzung über den Angriff, so handelt er nicht schuldhaft."
art_17,Art. 17,"Wer eine mit Strafe bedrohte Tat begeht, um ein eigenes oder das Rechtsgut einer anderen Person aus einer unmittelbaren, nicht anders abwendbaren Gefahr zu retten, handelt rechtmässig, wenn er dadurch höherwertige Interessen wahrt."
art_18,Art. 18,"Wer eine mit Strafe bedrohte Tat begeht, um sich oder eine andere Person aus einer unmittelbaren, nicht anders abwendbaren Gefahr für Leib, Leben, Freiheit, Ehre, Vermögen oder andere hochwertige Güter zu retten, wird milder bestraft, wenn ihm zuzumuten war, das gefährdete Gut preiszugeben. War dem Täter nicht zuzumuten, das gefährdete Gut preiszugeben, so handelt er nicht schuldhaft."
art_19,Art. 19,"War der Täter zur Zeit der Tat nicht fähig, das Unrecht seiner Tat einzusehen oder gemäss dieser Einsicht zu handeln, so ist er nicht strafbar. War der Täter zur Zeit der Tat nur teilweise fähig, das Unrecht seiner Tat einzusehen oder gemäss dieser Einsicht zu handeln, so mildert das Gericht die Strafe. Es können indessen Massnahmen nach den Artikeln 59–61, 63, 64, 67, 67 Konnte der Täter die Schuldunfähigkeit oder die Verminderung der Schuldfähigkeit vermeiden und dabei die in diesem Zustand begangene Tat voraussehen, so sind die Absätze 1–3 nicht anwendbar."
art_20,Art. 20,"Besteht ernsthafter Anlass, an der Schuldfähigkeit des Täters zu zweifeln, so ordnet die Untersuchungsbehörde oder das Gericht die sachverständige Begutachtung durch einen Sachverständigen an."
art_21,Art. 21,"Wer bei Begehung der Tat nicht weiss und nicht wissen kann, dass er sich rechtswidrig verhält, handelt nicht schuldhaft. War der Irrtum vermeidbar, so mildert das Gericht die Strafe."
