subject,predicate,object,artikel_id,artikel_nummer
1. Tat,unter Strafe stellt,Verbrechen (im Gesetz genannt),art_1,Art. 1
2. Täter,begeht,Verbrechen (im Gesetz genannt),art_1,Art. 1
3. Vorheriges Gesetz,ist milder als,StGB (Gesetz genannt),art_1,Art. 1
4. Anwendung,gilt wenn,StGB ist milder (als vorheriges Gesetz),art_1,Art. 1
1. Tat,Verbrechen oder Vergehen,nach Inkrafttreten (neues Gesetz),art_2,Art. 2
2. Tat,Verbrechen oder Vergehen,vor Inkrafttreten (altes Gesetz),art_2,Art. 2
3. Beurteilung,erfolgt,nachher,art_2,Art. 2
4. neues Gesetz,ist milder als,altes Gesetz,art_2,Art. 2
1. Täter,begeht,Verbrechen oder Vergehen,art_3,Art. 3
2. Gesetz,heisst,StGB,art_3,Art. 3
3. StGB,ist milder als,vorheriges Gesetz (hypothetisch),art_3,Art. 3
4. Anwendung,gilt wenn,StGB ist milder,art_3,Art. 3
5. Täter,unterworfen,diesem Gesetz,art_3,Art. 3
6. Ausländisches Gericht,endgültig freigesprochen hat,Täter (konditional),art_3,Art. 3
7. Sanktion,vollzogen,Täter im Ausland (konditional),art_3,Art. 3
8. Strafe,erlassen ist,Täter im Ausland (konditional),art_3,Art. 3
9. Strafe,verjährt ist,Täter im Ausland (konditional),art_3,Art. 3
10. Täter,hat die Strafe im Ausland nicht oder nur teilweise verbüsst,so wird in der Schweiz die Strafe oder deren Rest vollzogen,art_3,Art. 3
11. Gericht,entscheidet,ob eine im Ausland nicht oder nur teilweise vollzogene Massnahme in der Schweiz durchzuführen oder fortzusetzen ist,art_3,Art. 3
1. Täter,begeht,Verbrechen (Art. 265-278),art_4,Art. 4
2. Täter,verurteilt worden ist,im Ausland,art_4,Art. 4
3. Strafe,vollzogen,im Ausland,art_4,Art. 4
4. Gericht,rechnet,auf die auszusprechende Strafe die vollzogene Strafe an,art_4,Art. 4
5. StGB,ist milder als,"das vorherige Gesetz (implicit, as the new law is applicable to actions committed in the foreign country)",art_4,Art. 4
6. Anwendung,gilt wenn,Täter begeht Verbrechen (Art. 265-278) im Ausland und ist verurteilt worden und die Strafe vollzogen wurde im Ausland,art_4,Art. 4
1. Gesetz,heisst,StGB,art_5,Art. 5
- Täter,beging,Verbrechen,art_5,Art. 5
- Täter,befindet sich in,Schweiz,art_5,Art. 5
- Zeitpunkt,nach Inkrafttreten,Gesetz,art_5,Art. 5
- Beurteilung,erfolgt,nach Inkrafttreten,art_5,Art. 5
1. Verbrechen/Vergehen,begeht,Wer im Ausland,art_6,Art. 6
2. Verbrechen/Vergehen,strafbar,Begehungsort,art_6,Art. 6
3. Begehungsort,keiner Strafgewalt unterliegt,"Kein Triple, da keine Angabe",art_6,Art. 6
4. Täter,sich in der Schweiz befindet,Nicht bekannt aus Text,art_6,Art. 6
5. Täter,nicht an das Ausland ausgeliefert wird,Nicht bekannt aus Text,art_6,Art. 6
6. Gericht,bestimmt die Sanktionen,"Nicht bekannt aus Text, da keine spezifische Beurteilung genannt ist",art_6,Art. 6
7. Sanktionen,insgesamt für den Täter nicht schwerer wiegen als diejenigen nach dem Recht des Begehungsortes,"Nicht bekannt aus Text, da keine konkrete Sanktion genannt ist",art_6,Art. 6
8. Täter (falls er freigesprochen wurde),ein ausländisches Gericht ihn endgültig freigesprochen hat,Nicht bekannt aus Text,art_6,Art. 6
9. Täter (falls er verurteilt und nur teilweise bestraft wurde),der vollzogene Teil auf die auszusprechende Strafe anrechnet,"Nicht bekannt aus Text, da keine konkrete Sanktion genannt ist",art_6,Art. 6
10. Täter (falls eine im Ausland angeordnete Massnahme nur teilweise durchgeführt wurde),fortzusetzen oder auf die in der Schweiz ausgesprochene Strafe anzurechnen,"Nicht bekannt aus Text, da keine konkrete Massnahme genannt ist",art_6,Art. 6
1. Gesetz,heisst,StGB,art_7,Art. 7
- Tat,heisst,Verbrechen oder Vergehen,art_7,Art. 7
- Täter,begeht,Verbrechen oder Vergehen,art_7,Art. 7
- Tat,erfolgt,im Ausland,art_7,Art. 7
- Gesetz,ist milder als,vorheriges Gesetz (bedingter Triple),art_7,Art. 7
- Anwendung,gilt wenn,StGB ist milder (bedingter Triple),art_7,Art. 7
1. Verbrechen/Vergehen,ausführen,Täter,art_8,Art. 8
2. Verbrechen/Vergehen,erfolgen,Täter (unter der Bedingung: der Erfolg eingetreten ist),art_8,Art. 8
3. Versuch,ausführen,Täter,art_8,Art. 8
4. Versuch,sollte eintreten,Tater unter der Vorstellung,art_8,Art. 8
5. Verbrechen/Vergehen,pflichtwidrig untätig bleiben,Täter,art_8,Art. 8
6. StGB,ist milder als,vorheriges Gesetz (wenn es eine andere ähnliche Bestimmung gab),art_8,Art. 8
7. Anwendung,gilt wenn,StGB ist milder,art_8,Art. 8
1. Täter,begeht,Verbrechen,art_9,Art. 9
2. Verbrechen,heisst,Militärstrafrecht,art_9,Art. 9
3. Zeitpunkt,ist,beim Begehen der Tat,art_9,Art. 9
4. Beurteilung,erfolgt,nach dem Altersjahr ist vollendet,art_9,Art. 9
5. Beurteilung,erfolgt,unter Jugendstrafgesetz vom 20. Juni 2003 falls das 18. Altersjahr noch nicht vollendet ist,art_9,Art. 9
6. Gesetz,ist milder als,"vorheriges Gesetz (implicit, no explicit triple given)",art_9,Art. 9
1. Verbrechen,ist milder als,vorheriges Gesetz,art_10,Art. 10
2. Anwendung,gilt wenn,StGB ist milder,art_10,Art. 10
3. Verbrechen,begeht,Täter,art_10,Art. 10
4. Verbrechen,Zeitpunkt,vor Inkrafttreten,art_10,Art. 10
5. Beurteilung,erfolgt,nach Inkrafttreten,art_10,Art. 10
6. StGB,wird angewendet auf,Täter,art_10,Art. 10
1. Verbrechen/Vergehen,begangen durch,pflichtwidriges Untätigbleiben,art_11,Art. 11
2. Pflichtwidrig untätig bleibt,verpflichtet durch,"Gesetz, Vertrag, freiwillige Gefahrengemeinschaft, Schaffung einer Gefahr",art_11,Art. 11
3. Strafrechtlich geschütztes Rechtsgut,gefährdet/verletzt,"pflichtwidrig untätiger Person, wenn er seine Pflicht nicht erfüllt",art_11,Art. 11
4. Verbrechen/Vergehen,strafbar,"wenn ihm der Vorwurf gemacht werden kann, wie wenn er die Tat durch ein aktives Tun begangen hätte",art_11,Art. 11
5. StGB (Artikel),milder als,vorheriges Gesetz,art_11,Art. 11
6. Anwendung des Gesetzes,gilt wenn,StGB ist milder,art_11,Art. 11
7. Strafe,erfolgt,nach Inkrafttreten,art_11,Art. 11
1. Gesetz,ist milder als,vorheriges Gesetz (Hypothetical),art_12,Art. 12
2. Anwendung,gilt wenn,das Gesetz ist milder (Hypothetical),art_12,Art. 12
3. Verbrechen/Vergehen,begeht,Täter (Given),art_12,Art. 12
4. Tat,begeht mit Wissen und Willen,Täter (Given),art_12,Art. 12
5. Verbrechen/Vergehen,begeht pflichtwidrig,Täter (Derived),art_12,Art. 12
6. Täter,handelt fahrlässig,Verbrechen/Vergehen (Derived),art_12,Art. 12
7. Unvorsichtigkeit,ist pflichtwidrig,"Täter (Given, based on interpretation)",art_12,Art. 12
8. Täter,nimmt Kauf auf der möglichkeit der Tat,Verbrechen/Vergehen (Derived),art_12,Art. 12
9. Täter,"beachtet nicht die Vorsicht, zu der er verpflichtet ist nach den Umständen und seinen persönlichen Verhältnissen","Unvorsichtigkeit (Given, based on interpretation)",art_12,Art. 12
10. Täter,bedenkt die Folge seines Verhaltens aus pflichtwidriger Unvorsichtigkeit nicht,Verbrechen/Vergehen (Derived),art_12,Art. 12
11. Täter,darauf nicht Rücksicht nimmt auf die Folge seines Verhaltens aus pflichtwidriger Unvorsichtigkeit,Verbrechen/Vergehen (Derived),art_12,Art. 12
1. Täter,begeht,Verbrechen (fehlende Vorstellung über den Sachverhalt),art_13,Art. 13
2. Täter,hat,irrige Vorstellung über den Sachverhalt,art_13,Art. 13
3. Gericht,beurteilt,"Tat zu Gunsten des Täters nach dem Sachverhalt, den sich der Täter vorgestellt hat",art_13,Art. 13
4. Täter,konnte vermeiden,Irrtum bei pflichtgemäßer Vorsicht (Fallbedingung),art_13,Art. 13
5. Täter,ist strafbar,"Fahrlässigkeit (Fallbedingung, vorausgesetzt die fahrlässige Begehung der Tat mit Strafe bedroht ist)",art_13,Art. 13
6. StGB,ist milder als,vorheriges Gesetz (Bedingung),art_13,Art. 13
7. Anwendung des Gesetzes,gilt wenn,"Täter hat irrige Vorstellung über den Sachverhalt AND Täter konnte vermeiden Irrtum bei pflichtgemäßer Vorsicht (Fallbedingung, vorausgesetzt die fahrlässige Begehung der Tat mit Strafe bedroht ist)",art_13,Art. 13
8. Fahrlässigkeit,wird angewendet auf,"Täter (Sonderfall des Prädikats ""wird angewendet auf"")",art_13,Art. 13
1. Täter,handelt,"Gesetz (Unbekannt) (Das Täter ist nicht explizit genannt, es wird jedoch erwartet, dass das Subjekt ein Täter ist.)",art_14,Art. 14
2. Tat,gebietet,Gesetz (Unbekannt),art_14,Art. 14
3. Tat,ermöglicht,Gesetz (Unbekannt),art_14,Art. 14
4. Tat,Strafe bedroht,"andere Gesetz (Unbekannt) (Dieses Triple kann als Bedingung angesehen werden, da es eine Ausnahme für die Regel ist.)",art_14,Art. 14
5. Beurteilung,erfolgt,"nach Inkrafttreten (Es wird immer davon ausgegangen, dass die Beurteilung nach dem Gesetz erfolgt, aber explizit nicht genannt.)",art_14,Art. 14
6. Vorheriges Gesetz,ist milder als,StGB (Dieses Triple kann als Bedingung angesehen werden.),art_14,Art. 14
7. Anwendung,gilt wenn,StGB ist milder (Dieses Triple kann als Bedingung angesehen werden.),art_14,Art. 14
8. Gesetz (StGB),wird angewendet auf,"Täter (Dieses Triple ist nur möglich, falls der Täter explizit genannt ist oder durch Kontext ermittelt werden kann.)",art_14,Art. 14
1. Täter,Verbrechen,Angriff ohne Recht,art_15,Art. 15
- Tat,Zeitpunkt,vor Inkrafttreten,art_15,Art. 15
- Beurteilung,erfolgt,nach Inkrafttreten,art_15,Art. 15
- StGB,ist milder als,vorheriges Gesetz,art_15,Art. 15
- Anwendung,gilt wenn,StGB ist milder,art_15,Art. 15
- Täter,wird angewendet auf,StGB,art_15,Art. 15
1. Täter,Vergehen,Überschreiten der Grenzen der Notwehr nach Artikel 15,art_16,Art. 16
2. Tat,Zeitpunkt,vor Inkrafttreten (des Gesetzes),art_16,Art. 16
3. StGB,ist milder als,vorheriges Gesetz,art_16,Art. 16
4. Anwendung,gilt wenn,Täter überschreitet die Grenzen der Notwehr in entschuldbarer Aufregung oder Bestürzung über den Angriff,art_16,Art. 16
5. Beurteilung,erfolgt,nach Inkrafttreten (des Gesetzes),art_16,Art. 16
1. Täter,begeht,Verbrechen (mit Strafe bedrohte Tat),art_17,Art. 17
2. Verbrechen (mit Strafe bedrohte Tat),Zeitpunkt,vor Inkrafttreten (des Gesetzes),art_17,Art. 17
3. Beurteilung,erfolgt,nach Inkrafttreten (des Gesetzes),art_17,Art. 17
4. Beurteilung,erfolgt,rechtmässig (bei der Tat),art_17,Art. 17
5. Gesetz,ist milder als,vorheriges Gesetz (bzw. Verbrechenspraxis),art_17,Art. 17
6. Anwendung (des Gesetzes),gilt wenn,"Täter rettet höherwertige Interessen (bei einer unmittelbaren, nicht anders abwendbaren Gefahr)",art_17,Art. 17
1. Tat,Verbrechen,begeht,art_18,Art. 18
2. Tat,heißt,Notstandsverbrechen,art_18,Art. 18
3. Tat,Zeitpunkt,vor Inkrafttreten,art_18,Art. 18
4. StGB,ist milder als,vorheriges Gesetz,art_18,Art. 18
7. Beurteilung,erfolgt,nach Inkrafttreten,art_18,Art. 18
8. StGB,wird angewendet auf,Täter,art_18,Art. 18
9. Tat,Bedingung,"um sich oder eine andere Person aus einer unmittelbaren, nicht anders abwendbaren Gefahr für Leib, Leben, Freiheit, Ehre, Vermögen oder andere hochwertige Güter zu retten",art_18,Art. 18
10. Tat,Bedingung,"war ihm zuzumuten, das gefährdete Gut preiszugeben",art_18,Art. 18
Täter,begeht,Verbrechen (der konkrete Tatbegriff hier nicht angegeben),art_19,Art. 19
Zeitpunkt,zur Zeit der Tat,gilt,art_19,Art. 19
