subject,predicate,object,artikel_id,artikel_nummer
Tat,unter Strafe stellt,Verbrechen,art_1,Art. 1
Täter,begeht,Verbrechen,art_1,Art. 1
Vorheriges Gesetz,ist milder als,StGB,art_1,Art. 1
Anwendung,gilt wenn,StGB ist milder,art_1,Art. 1
Tat,Verbrechen oder Vergehen,nach Inkrafttreten,art_2,Art. 2
Tat,Verbrechen oder Vergehen,vor Inkrafttreten,art_2,Art. 2
Beurteilung,erfolgt,nachher,art_2,Art. 2
neues Gesetz,ist milder als,altes Gesetz,art_2,Art. 2
Täter,begeht,Verbrechen oder Vergehen,art_3,Art. 3
Gesetz,heisst,StGB,art_3,Art. 3
StGB,ist milder als,vorheriges Gesetz,art_3,Art. 3
Anwendung,gilt wenn,StGB ist milder,art_3,Art. 3
Täter,unterworfen,diesem Gesetz,art_3,Art. 3
Ausländisches Gericht,endgültig freigesprochen hat,Täter,art_3,Art. 3
Sanktion,vollzogen,Täter im Ausland,art_3,Art. 3
Strafe,erlassen ist,Täter im Ausland,art_3,Art. 3
Strafe,verjährt ist,Täter im Ausland,art_3,Art. 3
Täter,hat die Strafe im Ausland nicht oder nur teilweise verbüsst,so wird in der Schweiz die Strafe oder deren Rest vollzogen,art_3,Art. 3
Gericht,entscheidet,ob eine im Ausland nicht oder nur teilweise vollzogene Massnahme in der Schweiz durchzuführen oder fortzusetzen ist,art_3,Art. 3
Täter,begeht,Verbrechen,art_4,Art. 4
Täter,verurteilt worden ist,im Ausland,art_4,Art. 4
Strafe,vollzogen,im Ausland,art_4,Art. 4
Gericht,rechnet,auf die auszusprechende Strafe die vollzogene Strafe an,art_4,Art. 4
StGB,ist milder als,das vorherige Gesetz,art_4,Art. 4
Anwendung,gilt wenn,Täter begeht Verbrechen im Ausland und ist verurteilt worden und die Strafe vollzogen wurde im Ausland,art_4,Art. 4
Gesetz,heisst,StGB,art_5,Art. 5
- Täter,beging,Verbrechen,art_5,Art. 5
- Täter,befindet sich in,Schweiz,art_5,Art. 5
- Zeitpunkt,nach Inkrafttreten,Gesetz,art_5,Art. 5
- Beurteilung,erfolgt,nach Inkrafttreten,art_5,Art. 5
Verbrechen/Vergehen,begeht,Wer im Ausland,art_6,Art. 6
Verbrechen/Vergehen,strafbar,Begehungsort,art_6,Art. 6
Begehungsort,keiner Strafgewalt unterliegt,"Kein Triple, da keine Angabe",art_6,Art. 6
Täter,sich in der Schweiz befindet,Nicht bekannt aus Text,art_6,Art. 6
Täter,nicht an das Ausland ausgeliefert wird,Nicht bekannt aus Text,art_6,Art. 6
Gericht,bestimmt die Sanktionen,"Nicht bekannt aus Text, da keine spezifische Beurteilung genannt ist",art_6,Art. 6
Sanktionen,insgesamt für den Täter nicht schwerer wiegen als diejenigen nach dem Recht des Begehungsortes,"Nicht bekannt aus Text, da keine konkrete Sanktion genannt ist",art_6,Art. 6
Täter,ein ausländisches Gericht ihn endgültig freigesprochen hat,Nicht bekannt aus Text,art_6,Art. 6
Täter,der vollzogene Teil auf die auszusprechende Strafe anrechnet,"Nicht bekannt aus Text, da keine konkrete Sanktion genannt ist",art_6,Art. 6
Täter,fortzusetzen oder auf die in der Schweiz ausgesprochene Strafe anzurechnen,"Nicht bekannt aus Text, da keine konkrete Massnahme genannt ist",art_6,Art. 6
Gesetz,heisst,StGB,art_7,Art. 7
- Tat,heisst,Verbrechen oder Vergehen,art_7,Art. 7
- Täter,begeht,Verbrechen oder Vergehen,art_7,Art. 7
- Tat,erfolgt,im Ausland,art_7,Art. 7
- Gesetz,ist milder als,vorheriges Gesetz,art_7,Art. 7
- Anwendung,gilt wenn,StGB ist milder,art_7,Art. 7
Verbrechen/Vergehen,ausführen,Täter,art_8,Art. 8
Verbrechen/Vergehen,erfolgen,Täter,art_8,Art. 8
Versuch,ausführen,Täter,art_8,Art. 8
Versuch,sollte eintreten,Tater unter der Vorstellung,art_8,Art. 8
Verbrechen/Vergehen,pflichtwidrig untätig bleiben,Täter,art_8,Art. 8
StGB,ist milder als,vorheriges Gesetz,art_8,Art. 8
Anwendung,gilt wenn,StGB ist milder,art_8,Art. 8
Täter,begeht,Verbrechen,art_9,Art. 9
Verbrechen,heisst,Militärstrafrecht,art_9,Art. 9
Zeitpunkt,ist,beim Begehen der Tat,art_9,Art. 9
Beurteilung,erfolgt,nach dem Altersjahr ist vollendet,art_9,Art. 9
Beurteilung,erfolgt,unter Jugendstrafgesetz vom 20. Juni 2003 falls das 18. Altersjahr noch nicht vollendet ist,art_9,Art. 9
Gesetz,ist milder als,vorheriges Gesetz,art_9,Art. 9
Verbrechen,ist milder als,vorheriges Gesetz,art_10,Art. 10
Anwendung,gilt wenn,StGB ist milder,art_10,Art. 10
Verbrechen,begeht,Täter,art_10,Art. 10
Verbrechen,Zeitpunkt,vor Inkrafttreten,art_10,Art. 10
Beurteilung,erfolgt,nach Inkrafttreten,art_10,Art. 10
StGB,wird angewendet auf,Täter,art_10,Art. 10
Verbrechen/Vergehen,begangen durch,pflichtwidriges Untätigbleiben,art_11,Art. 11
Pflichtwidrig untätig bleibt,verpflichtet durch,"Gesetz, Vertrag, freiwillige Gefahrengemeinschaft, Schaffung einer Gefahr",art_11,Art. 11
Strafrechtlich geschütztes Rechtsgut,gefährdet/verletzt,"pflichtwidrig untätiger Person, wenn er seine Pflicht nicht erfüllt",art_11,Art. 11
