subject,predicate,object,artikel_id,artikel_nummer
Tat,unter strafe stellt,Verbrechen,art_1,Art. 1
Täter,begeht,Verbrechen,art_1,Art. 1
Vorheriges StGB,ist milder als,StGB,art_1,Art. 1
Anwendung,gilt wenn,StGB ist milder,art_1,Art. 1
Tat,verbrechen oder vergehen,nach Inkrafttreten,art_2,Art. 2
Tat,verbrechen oder vergehen,vor Inkrafttreten,art_2,Art. 2
Beurteilung,erfolgt,nachher,art_2,Art. 2
neues StGB,ist milder als,altes StGB,art_2,Art. 2
Täter,begeht,Verbrechen oder Vergehen,art_3,Art. 3
StGB,heisst,StGB,art_3,Art. 3
StGB,ist milder als,vorheriges StGB,art_3,Art. 3
Anwendung,gilt wenn,StGB ist milder,art_3,Art. 3
Täter,unterworfen,diesem StGB,art_3,Art. 3
Ausländisches Gericht,endgültig freigesprochen hat,Täter,art_3,Art. 3
Sanktion,vollzogen,Täter im Ausland,art_3,Art. 3
Strafe,erlassen ist,Täter im Ausland,art_3,Art. 3
Strafe,verjährt ist,Täter im Ausland,art_3,Art. 3
Täter,hat die strafe im ausland nicht oder nur teilweise verbüsst,so wird in der Schweiz die Strafe oder deren Rest vollzogen,art_3,Art. 3
Gericht,entscheidet,ob eine im Ausland nicht oder nur teilweise vollzogene Massnahme in der Schweiz durchzuführen oder fortzusetzen ist,art_3,Art. 3
Täter,begeht,Verbrechen,art_4,Art. 4
Täter,verurteilt worden ist,im Ausland,art_4,Art. 4
Strafe,vollzogen,im Ausland,art_4,Art. 4
Gericht,rechnet,auf die auszusprechende Strafe die vollzogene Strafe an,art_4,Art. 4
StGB,ist milder als,das vorherige StGB,art_4,Art. 4
Anwendung,gilt wenn,Täter begeht Verbrechen im Ausland und ist verurteilt worden und die Strafe vollzogen wurde im Ausland,art_4,Art. 4
StGB,heisst,StGB,art_5,Art. 5
- Täter,beging,Verbrechen,art_5,Art. 5
- Täter,befindet sich in,Schweiz,art_5,Art. 5
- Zeitpunkt,nach inkrafttreten,StGB,art_5,Art. 5
- Beurteilung,erfolgt,nach Inkrafttreten,art_5,Art. 5
Verbrechen/Vergehen,begeht,Wer im Ausland,art_6,Art. 6
Verbrechen/Vergehen,strafbar,Begehungsort,art_6,Art. 6
Begehungsort,keiner strafgewalt unterliegt,"Kein Triple, da keine Angabe",art_6,Art. 6
Täter,sich in der schweiz befindet,Nicht bekannt aus Text,art_6,Art. 6
Täter,nicht an das ausland ausgeliefert wird,Nicht bekannt aus Text,art_6,Art. 6
Gericht,bestimmt die sanktionen,"Nicht bekannt aus Text, da keine spezifische Beurteilung genannt ist",art_6,Art. 6
Sanktionen,insgesamt für den täter nicht schwerer wiegen als diejenigen nach dem recht des begehungsortes,"Nicht bekannt aus Text, da keine konkrete Sanktion genannt ist",art_6,Art. 6
Täter,ein ausländisches gericht ihn endgültig freigesprochen hat,Nicht bekannt aus Text,art_6,Art. 6
Täter,der vollzogene teil auf die auszusprechende strafe anrechnet,"Nicht bekannt aus Text, da keine konkrete Sanktion genannt ist",art_6,Art. 6
Täter,fortzusetzen oder auf die in der schweiz ausgesprochene strafe anzurechnen,"Nicht bekannt aus Text, da keine konkrete Massnahme genannt ist",art_6,Art. 6
StGB,heisst,StGB,art_7,Art. 7
- Tat,heisst,Verbrechen oder Vergehen,art_7,Art. 7
- Täter,begeht,Verbrechen oder Vergehen,art_7,Art. 7
- Tat,erfolgt,im Ausland,art_7,Art. 7
- StGB,ist milder als,vorheriges StGB,art_7,Art. 7
- Anwendung,gilt wenn,StGB ist milder,art_7,Art. 7
Verbrechen/Vergehen,ausführen,Täter,art_8,Art. 8
Verbrechen/Vergehen,erfolgen,Täter,art_8,Art. 8
Versuch,ausführen,Täter,art_8,Art. 8
Versuch,sollte eintreten,Tater unter der Vorstellung,art_8,Art. 8
Verbrechen/Vergehen,pflichtwidrig untätig bleiben,Täter,art_8,Art. 8
StGB,ist milder als,vorheriges StGB,art_8,Art. 8
Anwendung,gilt wenn,StGB ist milder,art_8,Art. 8
Täter,begeht,Verbrechen,art_9,Art. 9
Verbrechen,heisst,Militärstrafrecht,art_9,Art. 9
Zeitpunkt,ist,beim Begehen der Tat,art_9,Art. 9
Beurteilung,erfolgt,nach dem Altersjahr ist vollendet,art_9,Art. 9
Beurteilung,erfolgt,unter Jugendstrafgesetz vom 20. Juni 2003 falls das 18. Altersjahr noch nicht vollendet ist,art_9,Art. 9
StGB,ist milder als,vorheriges StGB,art_9,Art. 9
Verbrechen,ist milder als,vorheriges StGB,art_10,Art. 10
Anwendung,gilt wenn,StGB ist milder,art_10,Art. 10
Verbrechen,begeht,Täter,art_10,Art. 10
Verbrechen,zeitpunkt,vor Inkrafttreten,art_10,Art. 10
Beurteilung,erfolgt,nach Inkrafttreten,art_10,Art. 10
StGB,wird angewendet auf,Täter,art_10,Art. 10
Verbrechen/Vergehen,begangen durch,pflichtwidriges Untätigbleiben,art_11,Art. 11
Pflichtwidrig untätig bleibt,verpflichtet durch,"StGB, Vertrag, freiwillige Gefahrengemeinschaft, Schaffung einer Gefahr",art_11,Art. 11
Strafrechtlich geschütztes Rechtsgut,gefährdet/verletzt,"pflichtwidrig untätiger Person, wenn er seine Pflicht nicht erfüllt",art_11,Art. 11
Verbrechen/Vergehen,strafbar,"wenn ihm der Vorwurf gemacht werden kann, wie wenn er die Tat durch ein aktives Tun begangen hätte",art_11,Art. 11
StGB,ist milder als,vorheriges StGB,art_11,Art. 11
